BG,0.321,0.217,0.613,6913,1933,346,0,1,0,400,142,0,0,69,12,10000010010000000
BG,0.321,0.217,0.613,6913,1933,346,0,1,0,400,142,0,0,69,12,10000011010000000
BG,0.379,0.253,0.759,6913,1933,346,0,1,0,400,133,0,0,69,13,10000111010000000
BG,0.556,0.470,0.681,6913,1933,346,0,1,0,400,276,0,0,69,14,11110111010000000
BG,0.601,0.522,0.706,6913,1933,346,0,1,0,400,296,0,0,69,16,11010100100110000
CS,0.661,0.649,0.674,43955,12852,6227,136,0,159,2582,2484,0,0,1253,1143,10000010010000000
CS,0.661,0.649,0.674,43955,12852,6227,136,0,159,2582,2484,0,0,1253,1143,10000011010000000
CS,0.736,0.702,0.773,43955,12852,6227,136,0,159,2582,2344,0,0,1253,998,10000111010000000
CS,0.712,0.668,0.761,43955,12852,6227,136,0,159,2582,2268,0,0,1253,1025,11110111010000000
CS,0.710,0.655,0.774,43955,12852,6227,136,0,159,2582,2184,0,0,1253,981,11111110011110100
FR,0.615,0.572,0.665,17880,4462,1700,48,1,2,897,771,0,0,364,235,10000010010000000
FR,0.700,0.648,0.762,17880,4462,1700,48,1,2,897,762,0,0,364,244,10000011010000000
FR,0.742,0.689,0.805,17880,4462,1700,48,1,2,897,768,0,0,364,252,10000111010000000
FR,0.725,0.667,0.794,17880,4462,1700,48,1,2,897,753,0,0,364,253,11110111010000000
FR,0.755,0.696,0.826,17880,4462,1700,48,1,2,897,755,0,0,364,260,10001111011111000
