Lang,Fscor,Recall,precision
BG,0.565,0.463,0.729
CS,0.721,0.643,0.821
DE,0.411,0.295,0.682
EL,0.576,0.506,0.675
ES,0.662,0.547,0.846
FA,0.828,0.805,0.855
FR,0.754,0.669,0.865
HE,0.283,0.180,0.734
HU,0.819,0.820,0.821
IT,0.272,0.202,0.438
LT,0.177,0.106,0.569
MT,0.075,0.045,0.229
PL,0.745,0.633,0.907
PT,0.678,0.583,0.814
RO,0.867,0.821,0.918
SL,0.426,0.314,0.673
SV,0.192,0.128,0.650
TR,0.605,0.585,0.653
