Lang, F-score, Recall,Precision, Sents, MWEs ,Non-Continous, intereaving, single,Emedded, tstMwe, identifiedMwe, tstSingle, identifiedSingle, tstNonCont, identifiedNonCont, Config
BG,0.601,0.522,0.706,6913,1933,346,0,1,0,400,296,0,0,69,16,110101001001100
CS,0.710,0.655,0.774,43955,12852,6227,136,0,159,2582,2184,0,0,1253,981,111111100111101
DE,0.377,0.317,0.465,6261,2447,1113,70,715,26,518,353,143,113,237,150,10000101101101011
EL,0.586,0.550,0.626,5244,1518,645,6,3,0,320,281,1,22,135,86,100011110111010
ES,0.710,0.635,0.805,2502,748,225,7,0,4,156,123,0,0,41,24,111111111111100
FA,0.891,0.871,0.913,2736,2707,464,1,0,0,541,516,0,0,85,54,100011100110100
FR,0.748,0.696,0.808,17880,4462,1700,48,1,2,897,772,0,17,364,260,100011110111110
HE,0.342,0.215,0.841,4673,1282,271,99,0,32,270,69,0,0,60,11,1111110000010101
HU,0.833,0.851,0.815,3569,2999,288,2,2205,21,597,623,440,485,46,29,11111111110010001
IT,0.338,0.353,0.324,15728,1954,372,51,2,6,380,413,0,0,81,28,10100011101100001
LT,0.150,0.086,0.600,12153,402,141,0,0,0,70,10,0,0,28,1,1111110010111111
MT,0.210,0.168,0.280,5965,772,176,1,7,0,167,100,2,0,27,5,11110110011100110
PL,0.691,0.618,0.786,11578,3149,842,32,0,4,617,485,0,0,172,82,101001110101000
PT,0.679,0.626,0.743,19640,3447,1407,51,76,3,650,548,14,8,244,181,1111111111111111
RO,0.862,0.823,0.904,45469,4040,1427,24,1,12,813,740,0,0,290,242,1111111011101100
SL,0.435,0.407,0.466,8881,1787,986,0,14,0,359,313,7,0,205,130,10100110010100010
SV,0.500,0.333,1.000,200,56,12,1,0,0,12,4,0,0,2,0,1111111111111110
TR,0.610,0.558,0.673,16715,6169,3123,17,3,1,1190,987,0,0,589,443,111111110100100

