Lang,Fscor,Recall,precision
BG,0.608,0.527,0.718
CS,0.717,0.660,0.785
DE,0.217,0.151,0.390
EL,0.631,0.569,0.708
ES,0.737,0.673,0.814
FA,0.834,0.811,0.857
FR,0.768,0.710,0.837
HE,0.342,0.222,0.741
HU,0.281,0.169,0.828
IT,0.278,0.224,0.366
LT,0.195,0.114,0.667
MT,0.122,0.078,0.283
PL,0.733,0.643,0.852
PT,0.699,0.629,0.785
RO,0.873,0.839,0.909
SL,0.415,0.340,0.533
SV,0.375,0.250,0.750
TR,0.624,0.584,0.671
